storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page
上村歯科医院,筑西市幸町２－３１－１８,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000963,個人,上村秀幸,上村秀幸,na,na,na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施', '医療に関する相談窓口設置']",na,na,na,1|1|-,na,na,na,5,na,na,42
えびさわ歯科・こども歯科,筑西市西方１７７５－９,na,na,2023年8月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000964,個人,海老澤俊一,海老澤俊一,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1.4|1|0.4,na,na,4.5|4|0.5,35,na,na,42
医療法人社団健仁会小川医院歯科,筑西市小川１４５５－９,na,na,2022年3月11日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000965,医療法人,医療法人社団健仁会,小川顕史,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,"['診療所との連携', '薬局との連携']",1|1|-,na,na,2|1|1,30,na,na,43
おにざわ歯科医院,筑西市玉戸１５２７－１４,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000966,個人,鬼澤徹,鬼澤徹,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,na,2.2|2|0.2,na,na,3|3|0,45,na,na,43
小野歯科医院,筑西市岡芹２１５９－３,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000967,個人,小野晴也,小野晴也,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1.5|1|0.5,na,na,1|-|1,14.1,na,na,43
加藤歯科医院,筑西市西山田２５５－１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000968,個人,加藤貴行,加藤貴行,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,"['往診（終日対応することができるものに限る）', '往診（終日往診可能以外）', '歯科訪問診療']",na,1|1|-,na,na,2|2|-,15,na,na,43
川島歯科医院,筑西市小川１４７４－８,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000969,個人,浅見純郎,浅見純郎,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '薬局との連携']",1|1|-,na,na,1|1|-,25.2,na,na,43
菊池歯科医院,筑西市布川３０８,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000970,個人,菊池米彦,菊池米彦,['歯科領域の一次診療'],"['埋伏歯抜歯', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '居宅介護支援事業所との連携']",1.1|1|0.1,na,na,na,20,na,na,43
きらら歯科医院,筑西市玉戸１０６５－１,na,na,2023年3月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000971,個人,鈴木清史,鈴木清史,"['歯科領域の一次診療', '成人の歯科矯正治療']",['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）']",na,na,na,1|1|-,na,na,na,24,na,na,43
ことう歯科クリニック,筑西市下川島８２６－３７,na,na,2021年1月12日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000973,個人,古藤仁,古藤仁,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '薬局との連携']",1|1|-,na,na,1|1|-,29.4,na,na,43
さいとう歯科医院,筑西市甲２８１の４,na,na,2023年2月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000974,個人,齋藤文子,齋藤文子,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,3|2|1,18,na,na,43
酒井歯科医院,筑西市伊讃美７７５－３,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000975,個人,酒井勤,酒井勤,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,10,na,na,43
神明歯科医院,筑西市菅谷１５８１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000977,個人,中島祥吾,中島祥吾,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,1.8|1|0.8,35.4,na,na,43
関口歯科医院,筑西市岡芹1-266,na,na,2023年2月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000978,個人,中島利雄,中島利雄,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,5,na,na,43
髙野歯科医院,筑西市丙１５６－６,na,na,2020年12月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000979,医療法人,医療法人社団みやび会,髙野雅行,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1.5|1|0.5,na,na,4.5|4|0.5,43,na,na,43
医療法人社団康新会武内歯科,筑西市下岡崎２丁目７番地１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000980,医療法人,医療法人社団康新会,武内康,"['歯科領域の一次診療', '成人の歯科矯正治療', '唇顎口蓋裂の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,"['歯科訪問診療', '訪問歯科衛生指導', '在宅患者訪問口腔リハビリテーション指導管理']","['診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携']",1|1|0,na,na,0.8|0|0.8,24.5,na,na,43
津田歯科医院,筑西市乙５３０－２,na,na,2023年3月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000981,個人,津田哲,津田哲,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|0,na,na,1|1|-,25.2,na,na,43
堤歯科医院,筑西市甲１３－９,na,na,2018年12月28日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000982,個人,堤宏,堤宏,['歯科領域の一次診療'],na,na,na,na,na,na,na,1|-|-,na,na,1|-|-,18,na,na,43
永盛歯科医院,筑西市中舘2239,na,na,2023年3月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000983,個人,永盛孝,永盛孝,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,4|3|1,35,na,na,43
中山歯科診療所,筑西市下中山４０７－６,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000984,個人,中山 清之,中山 清之,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '視覚障害者への配慮（音声による情報の伝達）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,"['往診（終日対応することができるものに限る）', '往診（終日往診可能以外）', '歯科訪問診療', '訪問歯科衛生指導', '歯科疾患在宅療養管理']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1.5|2|0.5,na,na,1.8|1|0.8,20,na,na,43
野口歯科医院,筑西市市野辺２６６－３,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000986,医療法人,医療法人司星会,野口敦司,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,4|4|-,45,na,na,43
堀江歯科医院,筑西市玉戸９８７－１４,na,na,2023年3月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000990,個人,堀江博,堀江博,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '口腔領域の腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,2|2|-,28.6,na,na,43
村井歯科,筑西市二木成９８１,na,na,2023年3月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000991,個人,村井真之,村井真之,['著しく歯科診療が困難な者（障害者等）の歯科治療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,na,20.2,na,na,44
山口歯科クリニック,筑西市嘉家佐和２１５６－１,na,na,2023年3月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000992,医療法人,医療法人G･D･C,山口和郎,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",3|2|1,na,na,5|5|0,87,na,na,44
山田歯科医院,筑西市玉戸１３３９番地１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000993,個人,山田浩之,山田浩之,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,['院内処方'],na,na,na,1|1|-,na,na,0.4|-|0.4,7.3,na,na,44
吉川歯科医院,筑西市中舘８８－１,na,na,2023年3月29日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000994,個人,吉川昭嘉,吉川昭嘉,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療']","['病院との連携', '診療所との連携']",1|1|-,na,na,na,15,na,na,44
渡辺歯科医院,筑西市外塚８２１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000995,個人,渡辺進,渡辺進,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,na,30,na,na,44
医療法人安真会いいだ歯科医院,筑西市藤ケ谷１６５８－２３,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000997,医療法人,医療法人安真会,飯田悦弘,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,22,na,na,44
荻野歯科医院,筑西市関本下２０８１,na,na,2023年2月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000999,個人,荻野茂,荻野茂,['歯科領域の一次診療'],na,na,na,"['院外処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,7,na,na,44
小林歯科医院,筑西市木戸２４２,na,na,2022年3月11日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080001000,個人,小林 秀樹,小林 秀樹,"['歯科領域の一次診療', '成人の歯科矯正治療']",['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,3.2|3|1,na,na,1|1|1,47,na,na,44
医療法人梨栄会梨の木デンタルクリニック,筑西市関本下１９４３－１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080001003,医療法人,医療法人梨栄会,菊地義宏,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携']",1|1|0,na,na,2|0|0,74,na,na,44
明野歯科診療所,筑西市松原３４４９－１,na,na,2023年3月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080001004,個人,橋本正文,橋本正文,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,26.5,na,na,44
